S/N,Interview Unique Indentifier (IUI),Timestamp,User's thoughts or feeling,Designer's guess,Rater 1,Rater 2,Rater 3,Empathic Accuracy (EA),User's Emotional Tone,Designer's Guess of User's Emotional Tone,Emotional Tone Accuracy (ETA),,,,,,,,,,,,,,,,,,,,
264,28,12:22,I was thinking I do not know how to speak. The words hot mouth.,He was thinking of his driving experience in that situation and feeling when to wait for people is a problem for him,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
265,28,21:20,"I was Sorry, not ""reply with rule"", it should be ""follow the rule""",He was recalling his experience in this situation and many people are doing the same thing,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
266,28,21:52,"I was thinking  ""Could I trust this device (trustworthy)?""  The ""safe"" is not an accurate word. Sorry about that I do not know how to express myself in English at that moment. Does it provide full (whole/complete) information about the roads? I hope this is not partial information. Only providing partial information is dangerous. It may be better not to provide information at all. And could it give an error message? If I could trust this device, and device could tell me the information. The information I need is ... (Sorry again, I do not know how to express myself at that moment correctly.) Yes, when you tell me that there is a device, my first thought is, ""could I trust the information provided by this device?"" Not what kinds of information I need from this device.","He was thinking what the device is and what does this question mean, he does not understand the purpose of the device",1,1,0,0.667,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
267,28,23:35,"I was thinking that for different kinds of wrong information, I have a different tolerance.",He was thinking how to say it in English and he will not buy the device if the device provide wrong infromation that outlast critical accidents,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
268,28,25:45,"I was thinking, personally, I have my doubts.",He was thinking how to put it in English and he was thinking he cannot fully trust a device since it sometimes cannot that accurately provide information,1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
269,28,29:19,I was thinking  many people are not rich. I think this a common thing (universal phenomenon). Many people will need this information (free park lots).,He was thinking free is the most important thing and free parking is very attractive,2,0,2,1.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
270,29,1:01,I was thinking a little bit long introduction ,She was thinking it is a long informed consent and obviously she is from country,1,1,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
271,29,4:06,I was feeling bored for this question about driving definition,She was thinking driving for work is not fun at all and she don't fully understand the question,0,1,0,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
272,29,6:42,I was  feeling bored for this bicycles question,"She was thinking having accidents is horrible and she was feeling afraid of that, and recalling her memory of whether she met bicycles and electronic bicycles",0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
273,29,7:31,I was feeling confused about the question,"She was thinking electronic bicycles are very fast and they are dangerous, but don't fully understand why there will be animals on the road, she has not met that situation",0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
274,29,10:41,I was feeling happy that I have confidence to say so,She was thinking influencing traffic flow is better than causing an accidents since safety is the most important thing,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
275,29,12:17,"I was feeling confused about the device, I am thinking about what the importance ",She was feeling confused about what is the device,2,1,2,1.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
276,29,15:43,"I was remembering a terrible parking experience, that is unhappy",She was thinking can the device provide parking help? But it is good to know where there is a empty parking spot.,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
277,30,2:40,I was thinking I only drive for travelling ,He was thinking how to say it in English and feeling travelling is obviously much funny,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
278,30,3:50,I was thinking that driving is like a mind trip,He was thinking of his 3-day driving trip before and it was a good experience,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
279,30,6:15,I was  thinking you could just ask what you want me to provide,He was feeling confused about the question and didn't know what answers the interviewer wants,2,1,2,1.667,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
280,30,6:40,I was just moving after checking everything ,He was trying to understand the description of the scenario and trying to come up with an answer,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
281,30,7:44,"I was thinking about one movie with a fancy motocycle, though it is dangerous ",He was thinking motobikes are very fast and cause many accidents in country ,1,1,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
282,30,7:56,I was thinking of  a car accident that happened due to a blind corner,He was recalling his memory that related to motorbicycles and they don't follow the rules,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
283,30,12:10,I was thinking you could just ask me for a suggestion,He  finally understand what the interviewer want to ask and was feeling a bit happy and released,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
284,30,14:46,I was thinking the image can be displayed on the front windows,He was thinking a image of the street is enough for him to decide what to do,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
285,30,16:33,I was thinking the interview people is clever ,"He was thinking of how to say it in English and trying to explain. He was feeling that driving in a snowing sunny day, everything is white and it is dangerous",0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
286,30,20:59,I was thinking the interviewer was so clever to find what I would say,"He was thinking language is a problem, if the hint is in native is much better, no need to translate",0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
287,31,4:05,I was thinking how interesting to bring my cat to hike,He was thinking of his experience of going to a place and suprisely the interviewer pays attention to his cat,1,0,0,0.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
288,31,4:40,I was recalling how bad experience that taking bus to city,"He was thinking bringing cat in a car is not easy, but he can bring many stuff in the car for travelling is much convenient than taking bus",1,0,0,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
289,31,9:00,I was thinking usually people drive too fast on highway,"He was thinking what else he should be aware of and he remember he was in a similar situation, he was aware of the other cars, that was dangerous",1,0,0,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
290,31,9:30,I was thinking the difference of driving behavior between place and place,"He was thinking in that situation, when the other car is a bit faster than him, his driving was influenced by them",0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
291,31,11:50,I was trying to recall whether I have seen intersection without any sign,"He was thinking usually just following the sign to drive,  it is not a problem, it is just a common situation",1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
292,31,12:55,I was thinking an app on my phone opened while Google maps is also running,"He was thinking what is the device and how it looks like, this makes him feel confused",0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
293,31,15:15,I was trying to look for some cases that might be risky,He was thinking image hint is disturbing,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
294,31,16:45,I was hoping not to meet any animals on the road,He was thinking he has never met wild animals when driving here since he lives in a city. It may be a problem if living in countryside.,1,1,1,1.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
295,31,17:30,I was thinking maybe a robot assistant intergrated in the car itself,He was thinking parking is not a problem for him since it is not hard to find in the city. But he is glad that he comes up with another idea.,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
296,31,18:10,I was thinking idea that automatic driving assist by the device,He was thinking knowing if there is accidents happen is very useful for him but he is not sure if it is helpful for others,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
297,32,1:10,"I was thinking maybe it's a bit abrupted here, it's better to have a more smooth transition from the introduction to the first question.",He was feeling a bit nervous and curious about the interview,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
298,32,4:13,"I was thinking that mostly why I am driving is for fun, it does not specificly for any other purpose to be honest.",He was thinking he did not have a favourite one since it is just ordinary driving experience,0,0,1,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
299,32,5:52,I was confused here because I misundersood the question.,He was feeling a bit confused about the question and don't fully understand it,2,2,2,2.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
300,32,6:38,"I was thinking besides, I also need the information of an estimate of how many minutes will I need to wait for the pedestrian, if it need some time, is there any other roads which is faster?",He was feeling a bit nervous of answering this question and don't know why,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
301,32,7:32,"I was thinking If it's near the cross then the tram which blocking my view will affect my driving, otherwise not really influence. Moreover, the tram and the vehicle do not share the road like it in the city.",He was feeling a bit embarrasing of his English and thinks of  how to answer this question in English,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
302,32,13:17,I was thinking that I want to know if there any people approaching the intersection here.,He was thinking of that situation and what kind of information he needs,2,0,0,0.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
303,32,18:15,"I was thinking the reminder of the possible accident would be better in audio, and the density information in visual.",He was thinking what were the meaning of the two English words and not sure if he explain it clearly,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
304,32,18:42,"I was providing more choice for the users of the audio style formal, childish, funny, women, men, and so on.",He was thinking he needs time to think what does the audio hint mean and he will be more prefer visualized information,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
305,32,20:45,I was thinking good idea! I believe the device would be helpful and popular.,He was thinking now he has a clearer understanding of the device and came up with idea of his needs,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
306,33,2:03,I was happy to think about my past experience (Feel like nostalgia),"She was thinking how many year that she have got her driving license, and she did not frequently drive at the beginning so she felt a bit nervous about the interview",0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
307,33,4:19,I was trying  to think about the answer,"she was thinking they are all the same purposes, do not have a favourite one",1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
308,33,6:29,I was a bit nervous to make sure that I can understand the scenario completely,she was feeling it is hard to summarize definition of driving and hope she will understand the following scenarios,1,1,0,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
309,33,7:44,I was struggling a bit to explain to make sure that the interviwer understand you.,she was recalling her memory of a similar situation and motorbikes are a problem for her and they easily cause accidents since they are pretty fast,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
310,33,10:00,I was struggling a bit to explain to make sure that the interviwer understand you.,she was recalling her memory of a similar sitation and she was not able to see through mirrors at all,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
311,33,11:58,I was try to think about the answer,she was thinking it was exhausting to clean side mirrors during heavy rain and she hopes there will be a better solution,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
312,33,15:55,I was unsured about my answer,she was thinking this scenario is not difficult and it is easy to answer,1,0,0,0.333,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
313,33,19:01,I was just trying to explain,she was thinking that she can use the device everyday if she already has it,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
314,33,25:06,I was happy when I saw the interviewer have the fun mood,she was thinking she will not  trust it until it has been tested for more than 10 years,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
315,33,25:28,I was listening to the information in neutral emotion and thinking along,she was feeling happy that she comes up with a question and feeling curious about the device,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
316,34,02:00,I was feeling open to say whatever nonfiltered,He was thinking the interview is gonna be short,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
317,34,04:00,I was thinking casual questions lightens the mood,He was thinking it was nice to be young and have a car,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
318,34,13:00,I was having difficulties following the question,He was thinking of bikes that drive too fast,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
319,34,17:30,I was disappointed not having ideas,He was thinking its difficult question,1,0,0,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
320,34,18:40,I was happy getting some idea instantly,He was thinking its stupid that you have to look at other peoples signs,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
321,34,20:00,I was getting and evolving lot of ideas,He was thinking it is hard to speak english,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
322,34,20:30,I was getting praised for the ideas,He was thinking it is nice that the interviewer liked the idea,2,1,1,1.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
323,34,21:40,I was not happy not getting any more ideas,"He was not sure, what the questions is about",0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
324,34,25:30,I was feeling disappointed discussion shifting so much to mining ideas instead of casual chat,He was thinking there is not enough time to think,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
325,35,2:55,I was thinking that I got a driving license for moped at the age of 15,He was trying to remember when i got license,2,2,1,1.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
326,35,4:34,I was thinking my parents cars (nice cars),He was thinking car would be nice,0,1,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
327,35,5:52,"I was amused, i found the question a bit funny",He was thinking its a silly/hard question.,0,2,2,1.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
328,35,7:07,I was feeling relaxed,He was thinking its fun to drive and listen to music,1,2,0,1.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
329,35,7:34,"I was not relaxed anymore, driving in Hki is not relaxing",He was thinking its stressful to drive in the city,2,2,2,2.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
330,35,9:56,I was picturing me driving at intersection next to my house,He was thinking its hard to answer,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
331,35,11:56,I was trying to think when I was in that situation (heavy rain),He was thinking if you cant see you have to stop driving,0,1,0,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
332,35,14:07,I was picturing an intersection where a building blocks vision,He was trying to think about more things,0,1,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
333,35,16:35,I was thinking about scumbag spandex bikers who cross roads without looking,He was thinking bikes are dangerous in traffic,1,1,1,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
334,35,18:48,I was amused when I was forced to tell where I'd use the device,He was thinking he has no answers,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
335,36,3:19,I was trying to remember when I got my driving license. ,He was trying to remember when i got license,2,2,2,2.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
336,36,5:12,I was thinking Interviewer gave me a better explanation for his last argument,He was also thinking that people don't need car because of public transport,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
337,36,6:45,I was thinking about how do I explain my future plans with couple sentence. ,He was thinking about my work situation,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
338,36,10:55,I was thinking something clever to say but nothing comes to mind,He was thinking it is very hard to make up the sentence,1,1,2,1.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
339,36,13:23,I was  thinking did I anwer to everything or is there some informating missing,He was having hard time explaining,0,0,1,0.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
340,36,15:18,I was thinking this thing to be a good solution on paper but maybe it's hard to implement in practice or I wasn't able to think of a feasible solution to this at this moment ,He was thinking that would be very nice thing in future,1,2,1,1.333,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
341,36,17:19,I was listenening closely to the instruction because was thinking still the last part of the interview. Thinking that I need to ask the interviewer to repeat the question.,He was thinking he did not understand the question,2,1,1,1.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
342,36,18:53,I was thinking about what is really possible or necessary things to see in a rain,He was thinking about what I would like to see,1,0,2,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
343,36,19:45,I was thinking if my answer is good or not,He was thinking safety is very important in this case,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
344,36,24.55,I was thinking that this is quite hard to do in some kind of AI system,He was thinking its technically hard to detect pedestrians,1,2,2,1.667,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
345,37,4:02,I was feeling funny and a bit embarrassed to explain how I was banned to drive in the city,She was thinking it was fun that her family banned her driving,2,2,2,2.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
346,37,5:06,I was feeling embarrased to explain how I couldn't drive more again,I was thinking I only drive to transfer myself from place a to place b,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
347,37,6:47,"I was confirming again the question if I understood correctly, what is the purpose of driving",I was thinking best thing about driving is that you dont need to wait,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
348,37,9:08,I was trying to make sure and understand why is necessary that people would need extra assistance for traffic,I was thinking I told a fun joke,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
349,37,10:46,I was thinking what I would need in huge raining  situation,I was thinking I didn't undrstand what kind of notification he means,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
350,37,12:04,I was reflecting on my own experiences during driving in the city,I was thinking how terrifying it is to drive in city center,1,0,1,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
351,37,16:35,I was surprised by the differences of car selection standard,I was curious,1,0,1,0.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
352,37,21:33,I was thinking what I would need to have better driving experience,I was thinking autopilot does not sound safe,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
353,37,21:41,I was explaining how auto parking system could help me,I was remembering that I have issues with parking,1,1,0,0.667,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
354,38,2:55,I was hoping I was not giving misinformation about where I am legally allowed to use my  license.,I was thinking about where i can use my license,2,1,2,1.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
355,38,8:50,I was feeling relieved that my answer seemed to satisfy the question,I was making sure I understood correctly,0,1,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
356,38,9:30,I was getting excited because I like the concept of being able to think alot while driving as it is something I enjoy,I was thinking about how I like to wonder about different things,1,1,0,0.667,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
357,38,9:45,I was putting myself in the mental space of sitting idly in a room and thinking. This was to help contrast the feeling of thinking while driving in an attempt to help me explain the difference to the interviewer clearly,I was thinking  about how I do not want to waste my time,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
358,38,11:06,I was mentally disagreeing with the interviewer saying that it is unhealthy to have the opinion I have about thinking because I am addicted to work. ,I was thinking that the interviewer was very fun,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
359,38,16:15,I was picturing people of various ages at the side of the road while I am driving at a cross walk and traffic light. There are small children running around and I was thinking about the feeling of caution I get when I am in this situation in real life. This contrasts the more relaxed feeling if the nearby pedestrians were all elderly because they tend to move more slowly and are therefore easier to avoid with my car.,I was thinking that I am careful about people near the road incase they jump ,2,1,0,1.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
360,38,21:49,I was remembering this time a guy in a giant truck passed me (he was going 80 mph in a 45 zone) and it scared and stressed me.,I was not sure if the word is correct,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
361,38,21:55,I was internally laughing because I thought Interviewer may believe I drive like an old lady due to my description of how I handled the heavy rain situation (turned on the hazard lights and drove slowly in the shoulder),I was searching for word,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
362,38,30:12,I was thinking about the quote from Henry Ford about horses running faster,I was thinking that the device sounds nice,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
363,38,36:34,I was curious about the nature of the device or research outcomes from the surveys," I was thinking this is nice idea, is it actually being made?",1,0,0,0.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
364,39,02:55,"I was thinkling Oh man, my english is so bad…",I was thinking about when I got my license,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
365,39,05:30,I was thinking this is a weird one. Well i'll throw something wise.,I was thinking about where I like to drive,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
366,39,05:37,"I was thinking this is not true but I didn't find the words. Car is a ""have to be"" vehicle. I'll drive just for fun if I find the time but normally it is just frustrating to work and back driving.",I was thinking that I said a funny thing,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
367,39,05:57,"I was thinking, I have no idea what song you are talking about  I'll just laugh.",I was thinking about a song,0,1,1,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
368,39,07:12,I was thinking what an accidental rhyme! Did you notice?,I was not happy with my answer,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
369,39,08:16,I was thinking I have really no idea what the topic of this question is.,I was not understanding the question,2,2,2,2.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
370,39,14:50,I was getting bored not to know anything.,I was thinking that I said a stupid thing,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
371,39,18:00,I was not sure if you mean that.,I was not sure about a word I used,1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
372,39,19:00,I was having a certain picture of the smartphone-like device in my mind but I have no idea what it could used for or how practical it would be.,I was not understanding the question,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
373,39,20:00,I was wishing  this would stop already. I think I have nothing left to give to this conversation.,I was having hard time with English,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
374,40,02:05,"I was regretting about why I didn't change my driving license in country, would be really easy then",I was thinking how I missed my shot on expanding my license,2,1,0,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
375,40,02:45,I was thinking when exactly I appeared for the test,I was remembering when I got license,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
376,40,05:38,"I was thinking, actually, the car was a gift for my Father; he sold his older car after getting this. I go to the country for less time so I just use the same car.",I was thinking about my car situation,1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
377,40,06:31,I was thinking whether you are familiar with what a compact SUV is and why is it relevant for the country's market ,"I was thinking about my car, which is a good car",1,0,0,0.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
378,40,09:20,I was  a bit lazy person I think that’s why I prefer someone else to drive and I just enjoy the journey ,I was thinking I have lost interest in driving,1,0,0,0.333,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
379,40,11:49,"I was thinking how lucky you are that you don't have to drive in 40 C hot weather stuck in traffic, you are saved my friend.",I was thinking that in country there is a lot more traffic,1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
380,40,13:42,I was actually thinking about me standing at one of those intersections in front of city center and what other drivers did when the lights turned green.,I was thinking about the situation,1,0,2,1.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
381,40,14:55,I was thinking about one situation when we were driving in heavy rain in the country and we saw a tree failing on the same road after we had crossed the exact same place just 2-3 sec before. It was a bit scary,I was thinking about improving driving using information from computer vision,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
382,40,18:30,I was thinking about my car features followed by thinking about a Tesla's autonomous driving features,I was thinking about type of notifications,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
383,40,32:10,I was thinking about the helping drivers to drive safely and comfortably with some machines or tools,I was disagreeing,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
384,41,2:00,"I was thinking ""no deception, great.  At least this is not some experiment secretly testing me then""",I was thinking that I cant leave because we are friends,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
385,41,5:06,I was realizing I had been lying,I was thinking that I actually did not live in the place,1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
386,41,5:42,I was thinking that was great banter,I was thinking that was a funny joke,2,0,0,0.667,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
387,41,7:25,I was amused again. What a question ,I was thinking that was a weird question,1,2,2,1.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
388,41,9:15,I was thinking you look like you made the best joke ever. Which also was obviously,I was thinking that was a nice analogy,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
389,41,11:40,I was thinking if that really was the whole question,I was thinking that was a weird question,1,1,2,1.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
390,41,13:17,I was trying to really immerse myself into the mentioned situation,I was not able to think of anything,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
391,41,14:30,I was really starting to question the questions. Maybe even doubting if I understand what kind of answers you want,I was thinking a question is a bit silly,1,1,0,0.667,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
392,41,15:30,"I was thinking ""am I the inventor here?""",I was thinking that designers should answer this,1,0,2,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
393,41,20:13,I was feeling relieved I might for once have something useful-ish to say,I was thinking about special group of vehicles,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
394,42,5.23,I was thinking about how I don't really enjoy driving so much,I was thinking that I dont use car because I dont like to drive in city,1,1,1,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
395,42,5.33,I was thinking whether I was now able to pronounce rarely ,I was thinking I haven't driven often lately,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
396,42,6.44,I was thinking about myself being a bit nervous driving,I was thinking about how I get nervous when  I drive,2,2,2,2.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
397,42,9.00,"I was feeling like I might answer something stupid, a bit like as if this was a question in exam ",I was thinking about what kind of info I would like to have,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
398,42,9.57,I was feeling a bit difficult to imagine what to do in that situation as I can't improve my vision,I was trying to think about what I would  do,1,0,0,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
399,42,10.42,I was unsure whether I was understood,I was trying to think about more scenarios,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
400,42,10.52,I was thinking that we did't understand each other but it was hard to explain so we didn't continue with that question,I was wondering what is happening,0,0,1,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
401,42,12.49,"I was confused, thinking I already answered this",I was thinking that I would like to see what is coming,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
402,42,13.49,"I was creative, thinking about possible uses for device",I was thinking that I would like to have an alarm for high speed cars,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
403,42,16.05,"I was trying to imagine situations, but nothing came to mind",I was trying to think of something more.,1,1,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
404,43,1:14, I was feeling neutral ,I was thinking how to describe where I was born,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
405,43,3:48,  I was  happy ,I was finding interviewers reaction funny,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
406,43,4:45,  I was  contemplative ,I was trying to remember when I got my license,1,0,1,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
407,43,5:20, I was  joyful ,I was thinking how I got my license asap,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
408,43,8:00,  I was  pensive ,I was thinking about my answer,1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
409,43,11:15, I was thinking that I should practice more english ,I was thinking about the word ,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
410,43,12:10, I was blackout ,I was trying to remember a word,1,1,0,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
411,43,14:10, I was focused ,I was suprised that there was only one more,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
412,43,17:00, I was thinking that I'm stumbling with my words ,I was trying to think when I would use the device,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
413,43,19:40,I was  thinking this went fast ,I was thinking if I have any questions,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
